Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Uttar Pradesh,UP,state,2022,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2022,Electricity generation,Total,Total Generation,GWh,160193.22,19110.37,13.55
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Clean,%,966.76,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Fossil,%,121877.42,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,442.63,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,759.62,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Renewables,%,928.33,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Wind and Solar,%,168.71,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Clean,ktCO2,966.76,-8.07,-0.83
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Fossil,ktCO2,121877.42,15486.58,14.56
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,442.63,-184.65,-29.44
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,759.62,-47.09,-5.84
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Renewables,ktCO2,928.33,-7.45,-0.8
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,168.71,39.64,30.71
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,766.85,5.84,0.77
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Bioenergy,%,727.26,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Coal,%,121434.79,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Gas,%,442.63,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Hydro,%,30.46,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Nuclear,%,38.43,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Other Fossil,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Other Renewables,%,1.9,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Solar,%,168.71,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Bioenergy,ktCO2,727.26,-42.47,-5.52
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Coal,ktCO2,121434.79,15671.23,14.82
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Gas,ktCO2,442.63,-184.65,-29.44
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Hydro,ktCO2,30.46,-6.04,-16.55
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Nuclear,ktCO2,38.43,-0.62,-1.59
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Other Fossil,ktCO2,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Other Renewables,ktCO2,1.9,1.42,295.83
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Solar,ktCO2,168.71,39.64,30.71
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Fuel,Wind,ktCO2,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2022,Power sector emissions,Total,Total emissions,ktCO2,122844.18,15478.51,14.42
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,Clean,MW,5953.21,284.46,5.02
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,Fossil,MW,25568.14,-220.0,-0.85
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,Gas and Other Fossil,MW,1493.14,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,2772.34,28.75,1.05
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,Renewables,MW,5513.21,284.46,5.44
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Aggregate fuel,Wind and Solar,MW,2740.87,255.71,10.29
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Bioenergy,MW,2221.64,28.75,1.31
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Coal,MW,24075.0,-220.0,-0.91
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Gas,MW,1493.14,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Hydro,MW,550.7,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Nuclear,MW,440.0,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Other Fossil,MW,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Other Renewables,MW,,,
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Solar,MW,2740.87,255.71,10.29
India,IND,Uttar Pradesh,UP,state,2023,Capacity,Fuel,Wind,MW,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Clean,%,6.89,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Fossil,%,93.11,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,0.98,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,2.69,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Renewables,%,5.08,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Wind and Solar,%,2.39,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Clean,GWh,11352.93,154.24,1.38
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Fossil,GWh,153537.33,4542.8,3.05
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,1620.02,716.69,79.34
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,4420.43,-60.82,-1.36
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Renewables,GWh,8363.82,367.86,4.6
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Aggregate fuel,Wind and Solar,GWh,3943.39,428.68,12.2
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Bioenergy,%,1.94,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Coal,%,92.13,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Gas,%,0.98,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Hydro,%,0.69,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Nuclear,%,1.81,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Other Fossil,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Other Renewables,%,0.06,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Solar,%,2.39,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Bioenergy,GWh,3195.14,33.14,1.05
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Coal,GWh,151917.31,3826.11,2.58
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Gas,GWh,1620.02,716.69,79.34
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Hydro,GWh,1132.19,-137.13,-10.8
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Nuclear,GWh,2989.11,-213.62,-6.67
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Other Fossil,GWh,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Other Renewables,GWh,93.1,43.17,86.46
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Solar,GWh,3943.39,428.68,12.2
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Electricity generation,Total,Total Generation,GWh,164890.26,4697.04,2.93
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Clean,%,990.74,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Fossil,%,125366.01,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,793.81,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,765.59,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Renewables,%,954.87,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Wind and Solar,%,189.28,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Clean,ktCO2,990.74,23.98,2.48
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Fossil,ktCO2,125366.01,3488.59,2.86
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,793.81,351.18,79.34
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,765.59,5.97,0.79
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Renewables,ktCO2,954.87,26.54,2.86
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,189.28,20.57,12.19
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,766.31,-0.54,-0.07
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Bioenergy,%,734.88,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Coal,%,124572.2,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Gas,%,793.81,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Hydro,%,27.17,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Nuclear,%,35.87,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Other Fossil,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Other Renewables,%,3.54,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Solar,%,189.28,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Bioenergy,ktCO2,734.88,7.62,1.05
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Coal,ktCO2,124572.2,3137.41,2.58
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Gas,ktCO2,793.81,351.18,79.34
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Hydro,ktCO2,27.17,-3.29,-10.8
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Nuclear,ktCO2,35.87,-2.56,-6.66
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Other Fossil,ktCO2,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Other Renewables,ktCO2,3.54,1.64,86.32
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Solar,ktCO2,189.28,20.57,12.19
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Fuel,Wind,ktCO2,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2023,Power sector emissions,Total,Total emissions,ktCO2,126356.75,3512.57,2.86
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,Clean,MW,6609.07,655.86,11.02
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,Fossil,MW,28208.14,2640.0,10.33
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,Gas and Other Fossil,MW,1493.14,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,2822.08,49.74,1.79
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,Renewables,MW,6169.07,655.86,11.9
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Aggregate fuel,Wind and Solar,MW,3346.99,606.12,22.11
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Bioenergy,MW,2271.38,49.74,2.24
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Coal,MW,26715.0,2640.0,10.97
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Gas,MW,1493.14,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Hydro,MW,550.7,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Nuclear,MW,440.0,0.0,0.0
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Other Fossil,MW,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Other Renewables,MW,,,
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Solar,MW,3346.99,606.12,22.11
India,IND,Uttar Pradesh,UP,state,2024,Capacity,Fuel,Wind,MW,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Clean,%,7.06,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Fossil,%,92.93,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,0.73,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,2.29,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Renewables,%,4.96,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Wind and Solar,%,2.67,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Clean,GWh,12170.37,817.44,7.2
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Fossil,GWh,160034.45,6497.12,4.23
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,1263.61,-356.41,-22.0
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,3945.13,-475.3,-10.75
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Renewables,GWh,8549.52,185.7,2.22
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Aggregate fuel,Wind and Solar,GWh,4604.39,661.0,16.76
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Bioenergy,%,1.53,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Coal,%,92.2,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Gas,%,0.73,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Hydro,%,0.74,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Nuclear,%,2.1,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Other Fossil,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Other Renewables,%,0.02,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Solar,%,2.67,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Bioenergy,GWh,2629.09,-566.05,-17.72
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Coal,GWh,158770.84,6853.53,4.51
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Gas,GWh,1263.61,-356.41,-22.0
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Hydro,GWh,1282.59,150.4,13.28
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Nuclear,GWh,3620.85,631.74,21.13
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Other Fossil,GWh,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Other Renewables,GWh,33.45,-59.65,-64.07
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Solar,GWh,4604.39,661.0,16.76
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Fuel,Wind,GWh,0.0,0.0,
India,IND,Uttar Pradesh,UP,state,2024,Electricity generation,Total,Total Generation,GWh,172204.82,7314.56,4.44
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Clean,%,901.2,,
India,IND,Uttar Pradesh,UP,state,2024,Power sector emissions,Aggregate fuel,Fossil,%,130811.26,,
